GRBID	z	logTa_best	logTa_min	logTa_max	logFa	logFa_min	logFa_max	Photonindex_plateau	Photonerror_max	Photonerror_min	Alpha_best	Alpha_min	Alpha_max	Tt	Tfinal	kplateau	dk	logTa_rescaled	logTaErr	logLumTa	logLumTaErr	Gold1	Gold2	EnergyFlux	EnergyFluxerr	phinprompt	phinprompterror	Epeak	Epeakerror	Kprompt	KPrompterror	logLpeak	logLpeakerr	Environment	Functionalform	Eiso	Eisoerror	DistanceLum	GRBID_1	Theta	ThetaErr
120118B	2.943	3.68307	3.57391	3.83744	-10.956	-11.068	-10.8336	2.01	0.26	0.25	1.0241	0.953778	1.10809	2.5	5	1.013813962	0.214956316	3.087243223	0.131765	47.91825868	0.149046951	L-G-P	L-G	1.38e-7	1.32e-8	-1.89927	0.142154545	-	-	0.870928232	0.169855192	51.9495428	0.0943	S	PL	51.9495	0.0943	28.8845	120118B	10.480645784284558	0.296545144637107
120922A	3.1	3.59799	3.54452	3.81127	-10.5957	-10.8072	-10.4799	2.17	0.24	0.23	1.06622	1.03418	1.10544	2.9	6	1.271081084	0.255434867	2.985206143	0.133375	48.43107046	0.185467777	L-G-P	L-G	1.06e-7	7.57e-9	-1.95087	0.115606061	-	-	0.933026393	0.152194002	51.91752117	0.0773	S	PL	51.9175	0.0773	28.9117	120922A	10.581874687665396	0.24567850423432352
110818A	3.36	3.846274153	3.786625737	3.905922569	-11.28292779	-11.33807684	-11.22777874	1.83	0.2	0.18	1.371677184	1.304338994	1.439015373	3.2	6	0.778551412	0.132009144	3.206787664	0.059648416	47.61483268	0.091999722	L-G-P	L-G	1.41e-7	1.5e-8	-1.10998	0.197767879	-	-	0.269677203	0.078532071	51.58604743	0.1346	Wind	PL	51.586	0.1346	28.9536	110818A	11.68934683393366	0.4726714317885478
190114A	3.37	3.74534	3.70312	3.78755	-10.7527	-10.7864	-10.7191	1.86	0.12	0.12	1.18375	1.13759	1.22991	2.6	5	0.81345325	0.087247328	3.104858563	0.042215	48.16719447	0.057463576	L-G-P	L-G	4.12e-8	9.53e-9	-1.50802	0.399853636	-	-	0.484056373	0.285442889	51.30898784	0.2751	S	PL	51.309	0.2751	28.9552	190114A	12.70411872847095	1.0506040714738585
170202A	3.645	3.77629	3.70764	3.84495	-10.6535	-10.6983	-10.6086	2.04	0.15	0.15	1.1958	1.13664	1.25495	2.4	6	1.063357819	0.148463251	3.109304282	0.068655	48.46411105	0.075419717	L-G-P	L-G	3.92e-7	1.79e-8	-0.491293	0.263834121	110.449	30.34242424	0.235227887	0.070227473	52.05593046	0.1312	S	CPL	52.1	0.1312	28.9958	170202A	10.151265063940755	0.39960227856758296
60906	3.685	4.33479	4.26264	4.40693	-11.8833	-11.9717	-11.7948	2.06	0.18	0.17	1.71887	1.54924	1.88851	2.5	6	1.097090806	0.179699508	3.664080405	0.072145	47.2591709	0.113506449	L-G-P	L-G	1.22e-7	1.18e-8	-1.99727	0.150721212	-	-	0.995792756	0.231789388	52.1858074	0.1095	ISM	PL	52.1858	0.1095	29.0015	60906	9.763230619334614	0.32064468555719733
60605	3.8	4.04162	4.00425	4.079	-11.2609	-11.3141	-11.2078	1.835	0.50798622	0.305	1.9179	1.8329	2.0029	2.31	5	0.771960708	0.298319099	3.360378763	0.037375	47.76069885	0.176045183	L-G-P	L-G	4.73e-8	6.93e-9	-0.850847	0.258882424	-	-	0.164873018	0.066952804	51.02586323	0.1875	Wind	PL	51.0258	0.1875	29.0174	60605	13.832988663488441	0.7801992546135441
140419A	3.956	3.68383	3.65941	3.70825	-10.0056	-10.0296	-9.98163	1.678	0.099	0.097	1.36898	1.35109	1.38686	3	6.2	0.597265903	0.056779607	2.988698702	0.02442	48.94609938	0.047747905	L-G-P	L-G	4.18e-7	1.28e-8	-1.03015	0.048148182	-	-	0.211751703	0.016318842	52.12236858	0.036	N/A	PL	52.1223	0.036	29.0381	140419A	9.9508686810463	0.10755259495247008
100219A	4.7	4.721899099	4.618125636	4.825672562	-12.13530676	-12.46170239	-11.80891114	1.46	0.14	0.13	3.692984743	2.962131341	4.423838146	2.9	5.2	0.390685756	0.055634346	3.966024243	0.103773463	46.80900593	0.332202984	L-G-P	L-G	3.15e-8	7.21e-9	-1.42603	0.376558182	-	-	0.368256575	0.24135049	51.41721563	0.3015	N/A	PL	51.4172	0.3015	29.1266	100219A	12.29755733078568	1.1139801036609136
160327A	4.99	3.76407	3.70374	3.8244	-11.2238	-11.2911	-11.1565	1.78	0.19	0.15	1.49693	1.39653	1.59733	2.45	5	0.674475376	0.124395963	2.986643178	0.06033	48.0187816	0.104618656	L-G-P	L-G	1.25e-7	8.77e-9	-1.56789	0.101963636	-	-	0.461387788	0.084214451	52.17530154	0.0849	Wind	PL	52.1753	0.0849	29.1572	160327A	9.79405716499229	0.2495399536998276
111008A	5	3.989933926	3.95425723	4.025610622	-10.66765993	-10.69617102	-10.63914885	1.829	0.097	0.095	1.215842875	1.188491585	1.243194166	2.5	6	0.736098845	0.076736703	3.211782676	0.035676696	48.61493265	0.053503646	L-G-P	L-G	5.41e-7	3.91e-8	-1.25893	0.111360606	-	-	0.265054665	0.052886734	52.57251191	0.0922	S	PL	52.5725	0.0922	29.1582	111008A	8.69386951170092	0.24031422478752612
