Om	kLUV	kLUVMax	kLUVMin
0	5.444096565246582	5.523711204528809	5.362421989440918
0.02	5.233556747436523	5.313455581665039	5.152769088745117
0.04	5.083566665649414	5.164140701293945	5.002824783325195
0.06	4.96809196472168	5.048028945922852	4.886709213256836
0.08	4.873601913452148	4.95405387878418	4.792428970336914
0.1	4.794172286987305	4.874162673950195	4.713518142700195
0.12	4.726293563842773	4.806310653686523	4.64509391784668
0.14	4.666707992553711	4.746603012084961	4.585809707641602
0.16	4.613874435424805	4.694009780883789	4.532941818237305
0.18	4.56651496887207	4.64655876159668	4.485441207885742
0.2	4.523374557495117	4.603803634643555	4.442594528198242
0.22	4.484228134155273	4.564451217651367	4.403432846069336
0.24	4.448633193969727	4.528547286987305	4.367559432983398
0.26	4.415647506713867	4.49601936340332	4.334692001342773
0.28	4.384916305541992	4.46483039855957	4.303731918334961
0.3	4.356691360473633	4.436647415161133	4.27522087097168
0.32	4.329839706420898	4.410009384155273	4.24860954284668
0.33999999999999997	4.304910659790039	4.385038375854492	4.223554611206055
0.36	4.281492233276367	4.361593246459961	4.199911117553711
0.38	4.259279251098633	4.339620590209961	4.177881240844727
0.4	4.238473892211914	4.318441390991211	4.156858444213867
0.42	4.218339920043945	4.29896354675293	4.136995315551758
0.44	4.199590682983398	4.279966354370117	4.118162155151367
0.45999999999999996	4.181623458862305	4.262052536010742	4.099775314331055
0.48	4.164640426635742	4.245389938354492	4.083169937133789
0.5	4.148168563842773	4.228815078735352	4.066583633422852
0.52	4.132806777954102	4.213312149047852	4.050878524780273
0.54	4.117837905883789	4.198446273803711	4.036245346069336
0.56	4.10338020324707	4.184106826782227	4.021726608276367
0.5800000000000001	4.089609146118164	4.170297622680664	4.007928848266602
0.6	4.076603412628174	4.157392978668213	3.9948782920837402
0.62	4.063834190368652	4.1447954177856445	3.9823408126831055
0.64	4.051217079162598	4.132241249084473	3.9696664810180664
0.6599999999999999	4.039544105529785	4.120791435241699	3.957913398742676
0.6799999999999999	4.028288841247559	4.109650611877441	3.9467267990112305
0.7	4.017525672912598	4.098509788513184	3.9357404708862305
0.72	4.006361961364746	4.08797550201416	3.925051689147949
0.74	3.996119499206543	4.077641487121582	3.9143800735473633
0.76	3.986140251159668	4.067702293395996	3.9046812057495117
0.78	3.97672176361084	4.058215141296387	3.89487361907959
0.8	3.967503547668457	4.048705101013184	3.8855466842651367
0.82	3.9584455490112305	4.039658546447754	3.8763628005981445
0.84	3.9494504928588867	4.031064033508301	3.867384910583496
0.86	3.9408445358276367	4.0222578048706055	3.8588361740112305
0.88	3.9325475692749023	4.01407527923584	3.850619316101074
0.8999999999999999	3.9244909286499023	4.005972862243652	3.8425798416137695
0.9199999999999999	3.916743278503418	3.9981908798217773	3.8345346450805664
0.94	3.9092302322387695	3.990694999694824	3.826907157897949
0.96	3.9017229080200195	3.9830846786499023	3.8193254470825195
0.98	3.894587516784668	3.975703239440918	3.811875343322754
1.	3.887240409851074	3.9684762954711914	3.8047914505004883
