Om	kLX	kLXMax	kLXMin
0.	4.466242790222168	4.5307207107543945	4.402915000915527
0.02	4.253663539886475	4.31619119644165	4.190086841583252
0.04	4.101166248321533	4.163364887237549	4.038214206695557
0.06	3.982729434967041	4.044680118560791	3.920340061187744
0.08	3.8863892555236816	3.9489121437072754	3.823899745941162
0.1	3.8056368827819824	3.8681836128234863	3.743152141571045
0.12	3.7363524436950684	3.7987513542175293	3.6733813285827637
0.14	3.676023006439209	3.737992763519287	3.6124320030212402
0.16	3.62217378616333	3.684248447418213	3.5586209297180176
0.18	3.5738797187805176	3.63590669631958	3.5103697776794434
0.2	3.5300869941711426	3.5922141075134277	3.4664864540100098
0.22	3.4899039268493652	3.552565097808838	3.42653226852417
0.24	3.453535556793213	3.51625394821167	3.3901686668395996
0.26	3.4200282096862793	3.4824700355529785	3.3562846183776855
0.28	3.388828754425049	3.4512228965759277	3.3249564170837402
0.3	3.359884738922119	3.4223551750183105	3.2960314750671387
0.32	3.3326001167297363	3.3951945304870605	3.2687134742736816
0.34	3.30720853805542	3.3699698448181152	3.2433981895446777
0.36	3.283133029937744	3.3460469245910645	3.219007968902588
0.38	3.2606120109558105	3.3235020637512207	3.196773052215576
0.4	3.239330768585205	3.3024258613586426	3.175234317779541
0.42	3.219165325164795	3.2817788124084473	3.155059337615967
0.44	3.2000155448913574	3.2630820274353027	3.1356425285339355
0.46	3.181666851043701	3.2447714805603027	3.117255687713623
0.48	3.16441011428833	3.2273526191711426	3.100037097930908
0.5	3.147749423980713	3.2108492851257324	3.0834097862243652
0.52	3.1316514015197754	3.1949992179870605	3.0674548149108887
0.54	3.1165881156921387	3.1799073219299316	3.0521674156188965
0.56	3.1018729209899902	3.165287494659424	3.0376381874084473
0.58	3.087830066680908	3.1516356468200684	3.023685932159424
0.6	3.0744071006774902	3.1381888389587402	3.0100626945495605
0.62	3.061694622039795	3.125333309173584	2.996873378753662
0.64	3.0488152503967285	3.112792491912842	2.984523296356201
0.66	3.0367989540100098	3.100757122039795	2.9725403785705566
0.68	3.02553129196167	3.0892844200134277	2.9609007835388184
0.7000000000000001	3.0143637657165527	3.0784029960632324	2.949385166168213
0.72	3.003110408782959	3.0675406455993652	2.9386372566223145
0.74	2.9928488731384277	3.056945323944092	2.9279942512512207
0.76	2.9827685356140137	3.046779155731201	2.917842388153076
0.78	2.972869396209717	3.037261486053467	2.9078526496887207
0.8	2.9634995460510254	3.027958393096924	2.8984017372131348
0.8200000000000001	2.954115390777588	3.0185933113098145	2.889251232147217
0.84	2.945117473602295	3.009523868560791	2.879967212677002
0.86	2.9363198280334473	3.000673770904541	2.871093273162842
0.88	2.9281086921691895	2.992400646209717	2.8626294136047363
0.9	2.9197545051574707	2.984222888946533	2.8542609214782715
0.92	2.9116768836975098	2.9762167930603027	2.8463168144226074
0.9400000000000001	2.903918743133545	2.9685826301574707	2.838601589202881
0.96	2.896289348602295	2.960977077484131	2.8307909965515137
0.98	2.889008045196533	2.953199863433838	2.823085308074951
1.	2.8817028999328613	2.9459948539733887	2.8160758018493652
