	id	dk1	dk2	z	logFluxUV	logFluxErrUV	logFluxX	logFluxErrX	dk3	dk4	dk5	dk6	dk7
500	154856.87+124809.6	237.23697	12.80269	0.7707	-27.201	0.00949	-31.2108	0.02098	5	2.30187	0.18842	44.523192	0.152876
501	085425.77+021406.4	133.607	2.23513	0.7717	-27.4282	0.00952	-31.0911	0.04363	6	1.91132	0.18767	42.803773	0.29953
502	103948.62+642737.6	159.9526	64.46045	0.772	-27.5811	0.01137	-31.25232	0.02427	5	1.9651	0.14786	43.240884	0.181844
503	023946.24+010914.6	39.9427	1.15408	0.7721	-27.6	0.01477	-31.35107	0.0204	5	2.03121	0.16374	43.814656	0.160813
504	N_127_9	31.77549	-4.23803	0.7724	-27.75296	0.0123	-31.56902	0.0382	4	1.96323	0.19566	44.625593	0.263428
505	N_6_20	35.8522	-3.41013	0.773	-27.70099	0.01739	-31.43117	0.0387	4	2.6477	0.34128	43.929385	0.273078
506	090652.87+163540.1	136.7203	16.59449	0.773	-27.9863	0.01726	-31.27214	0.01846	5	1.90948	0.1464	41.712732	0.189145
507	153931.29+171714.1	234.88039	17.28725	0.7738	-26.8591	0.00781	-30.81236	0.00771	5	2.06743	0.04469	43.295624	0.079472
508	171901.70+580028.7	259.75711	58.008	0.7739	-27.19	0.00798	-31.51488	0.02983	5	2.10255	0.26291	46.573294	0.214051
509	113756.89+215245.7	174.48706	21.87938	0.776	-27.4064	0.0092	-31.36135	0.02077	5	2.32465	0.17322	44.675018	0.151268
510	022436.92-000603.6	36.1539	-0.10102	0.776	-28.0244	0.01714	-32.0542	0.13776	6	2.43944	0.66773	46.71357	0.9126
511	132800.93+435043.0	202.00391	43.8453	0.7763	-27.0084	0.00714	-30.88288	0.01938	5	2.32152	0.17115	43.149408	0.142018
512	N_92_38	33.66467	-3.78956	0.7764	-27.59467	0.01665	-31.26897	0.0223	4	2.12549	0.11948	43.295118	0.177498
513	010002.32+001642.5	15.00969	0.27848	0.777	-26.6802	0.0078	-30.48578	0.02145	5	2.29623	0.16208	41.874589	0.156631
514	084251.81+501455.5	130.716	50.2488	0.779	-27.7313	0.01672	-31.4237	0.07395	6	2.5523	0.37229	43.756043	0.497392
515	081313.10+541646.9	123.305	54.2797	0.7792	-26.6776	0.00774	-30.4116	0.00969	6	1.9295	0.03734	41.396098	0.097052
516	000325.40+020155.7	0.85587	2.03216	0.78	-27.7292	0.01424	-30.94834	0.01495	5	1.91496	0.09621	40.63017	0.178239
517	111040.11+554349.9	167.667	55.7305	0.78	-28.1974	0.02241	-31.6329	0.03853	6	2.08779	0.19019	43.227323	0.28949
518	112819.60+583741.7	172.082	58.6283	0.781	-28.0331	0.02107	-31.3124	0.03554	6	2.79219	0.18323	41.786608	0.280317
519	011527.88+000905.9	18.86619	0.15165	0.7811	-28.2165	0.02146	-31.97413	0.0323	5	1.97989	0.23586	45.399162	0.238975
